Instance,best_multistart_seed,Best Multistart,Multistart Time,Best ILS Seed,Best ILS,ILS Time,Best GRASP Seed,Best GRASP,GRASP Time,best_tabu_seed,Best Tabu Search,Tabu Search Time,Best SA Seed,Best SA,SA Time,best_vns_seed,Best VNS,VNS Time
0,2300,20890.0,0.5470853480001097,100,20995.0,0.5512222519973875,200,20877.0,0.206202604000282,700,16699.0,1.0001014179979393,600,20949.0,2.8504771959997015,200,20995.0,1.01573622000069
1,1400,19836.0,0.5717551489979087,100,19836.0,0.4080980839971744,100,19476.0,0.1737299480009824,700,15537.0,1.0001102080022974,800,19836.0,3.08567217000018,100,19836.0,1.0067056690022582
2,100,20561.0,0.572861415999796,100,20561.0,0.2855567790029454,500,19710.0,0.21702311799890595,600,15847.0,1.0002838050022547,1900,20526.0,2.939385787998617,100,20561.0,1.012727580000501
3,1900,19667.0,0.5665143449987227,1100,19789.0,0.3198817019983835,2400,19291.0,0.24630145099945366,200,16110.0,1.0001768809997884,2200,19730.0,3.0156896250009595,1500,19737.0,1.0154666090020328
4,2700,20961.0,0.5407401100019342,300,20961.0,0.5272536470001796,100,20777.0,0.27391849199921126,400,18162.0,1.0002386199994362,1100,20960.0,2.964212791997852,500,20961.0,1.008462726000289
5,2500,19694.0,0.5282997489994159,1200,19767.0,0.4196509209978103,100,18459.0,0.24420089700288372,600,15317.0,1.0000677880016156,600,19767.0,1.7110085490021447,1100,19731.0,1.0476797109986364
6,300,21049.0,0.5398077499994542,100,21334.0,0.4325849409979128,500,20268.0,0.22849120399769163,2900,16687.0,1.0002118019983754,700,21239.0,2.958556593999674,600,21334.0,1.026167798001552
7,2200,16704.0,0.4844020980017376,1600,16746.0,0.4760454480019689,1800,16695.0,0.21952636299829464,2500,13040.0,1.000171567997313,600,16752.0,2.911067697001272,300,16763.0,1.0081617100004223
8,1500,19364.0,0.5439856230004807,1400,19399.0,0.5024478570012434,1000,19124.0,0.21764372500183526,1800,15128.0,1.0001785240019672,2900,19391.0,3.171337454001332,200,19399.0,1.0036877780003124
9,1500,18284.0,0.5348863549988891,400,18289.0,0.48660003000259167,300,18108.0,0.22285963800095487,400,14164.0,1.00015158899987,2500,18331.0,1.723092958000052,1900,18289.0,1.009538711001369
10,300,20007.0,0.556083542000124,300,20167.0,0.5111402829970757,200,20137.0,0.2596557440010656,400,16019.0,1.0000877999991644,1100,20167.0,2.875130292002723,500,20167.0,1.006915141002537
